batter,league_matches,league_runs,league_balls,league_dismissals,league_sr,league_avg,knockout_matches,knockout_runs,knockout_balls,knockout_dismissals,knockout_sr,knockout_avg
A Ashish Reddy,23,280,193,15,145.08,18.67,,,,,,
A Badoni,55,1177,829,44,141.98,26.75,1.0,1.0,7.0,1.0,14.29,1.0
A Manohar,20,292,235,19,124.26,15.37,,,,,,
A Mhatre,13,441,240,12,183.75,36.75,,,,,,
A Mishra,51,372,408,26,91.18,14.31,4.0,9.0,11.0,2.0,81.82,4.5
A Raghuvanshi,30,885,608,24,145.56,36.88,,,,,,
A Symonds,33,894,692,21,129.19,42.57,3.0,80.0,58.0,3.0,137.93,26.67
AA Jhunjhunwala,15,217,210,12,103.33,18.08,,,,,,
AB Agarkar,18,179,154,8,116.23,22.38,,,,,,
AB McDonald,9,123,100,5,123.0,24.6,,,,,,
AB de Villiers,160,4887,3207,115,152.39,42.5,10.0,294.0,204.0,7.0,144.12,42.0
AC Blizzard,5,59,49,5,120.41,11.8,2.0,61.0,41.0,2.0,148.78,30.5
AC Gilchrist,77,1969,1437,72,137.02,27.35,3.0,100.0,58.0,3.0,172.41,33.33
AC Voges,7,181,143,4,126.57,45.25,,,,,,
AD Hales,6,148,118,6,125.42,24.67,,,,,,
AD Mathews,41,724,575,28,125.91,25.86,,,,,,
AD Russell,111,2587,1482,88,174.56,29.4,3.0,68.0,43.0,2.0,158.14,34.0
AJ Finch,87,2006,1567,79,128.02,25.39,3.0,86.0,68.0,3.0,126.47,28.67
AK Markram,64,1650,1209,53,136.48,31.13,2.0,21.0,25.0,2.0,84.0,10.5
AL Menaria,23,401,356,21,112.64,19.1,,,,,,
AM Nayar,48,623,533,34,116.89,18.32,2.0,49.0,44.0,2.0,111.36,24.5
AM Rahane,187,5094,4044,162,125.96,31.44,10.0,273.0,229.0,10.0,119.21,27.3
AP Tare,23,297,237,20,125.32,14.85,4.0,42.0,36.0,4.0,116.67,10.5
AR Patel,127,2019,1494,89,135.14,22.69,7.0,70.0,68.0,5.0,102.94,14.0
AS Raut,16,194,167,9,116.17,21.56,,,,,,
AT Rayudu,163,4013,3107,132,129.16,30.4,22.0,335.0,302.0,16.0,110.93,20.94
Abdul Samad,54,806,545,40,147.89,20.15,4.0,53.0,33.0,4.0,160.61,13.25
Abhishek Sharma,85,2362,1373,76,172.03,31.08,4.0,17.0,16.0,4.0,106.25,4.25
Abishek Porel,33,769,529,30,145.37,25.63,,,,,,
Aman Hakim Khan,10,115,104,9,110.58,12.78,,,,,,
Aniket Verma,20,315,196,14,160.71,22.5,,,,,,
Anmolpreet Singh,9,139,115,9,120.87,15.44,,,,,,
Anuj Rawat,21,318,267,14,119.1,22.71,,,,,,
Arshad Khan,11,127,89,5,142.7,25.4,1.0,15.0,6.0,1.0,250.0,15.0
Ashutosh Sharma,26,564,334,19,168.86,29.68,,,,,,
Atharva Taide,10,260,177,9,146.89,28.89,,,,,,
Azhar Mahmood,21,388,303,19,128.05,20.42,,,,,,
