batter,p1_10_runs,p1_10_balls,p1_10_dismissals,p1_10_sr,p1_10_dot_pct,p10_40_runs,p10_40_balls,p10_40_dismissals,p10_40_sr,p10_40_dot_pct,p40plus_runs,p40plus_balls,p40plus_dismissals,p40plus_sr,p40plus_dot_pct,pp_runs,pp_balls,pp_dismissals,pp_sr,pp_dot_pct,mid_runs,mid_balls,mid_dismissals,mid_sr,mid_dot_pct,death_runs,death_balls,death_dismissals,death_sr,death_dot_pct
DA Warner,1882,1585,50,110.537337,57.50434783,3948,2656,79,143.9963359,39.12648855,737,461,29,143.9668182,34.9425,3318,2403,72,118.5464205,55.76363636,2621,1944,59,129.9895327,33.00813084,628,355,26,164.07,36.88909091
S Dhawan,2183,1945,58,105.5762896,54.19628959,3872,2927,105,120.854472,40.52068323,714,454,24,148.8261702,34.86191489,3415,2782,92,110.9799065,51.46453271,2686,2123,78,110.29368,39.56168,668,421,17,149.80,32.81190476
MC Henriques,470,420,16,111.0333333,43.27592593,509,362,20,139.8637037,36.87518519,21,6,0,350,16.67,161,140,3,115.9,44.72823529,504,445,21,119.0381081,40.40297297,335,203,12,119.06,43.07178571
Yuvraj Singh,1180,1092,36,101.4447619,53.19087302,1557,1016,68,137.3275862,46.89758621,17,14,3,163.332,36.666,193,186,12,90.09424242,69.51424242,1655,1435,55,104.7725,48.91490741,906,501,40,154.85,46.18964286
DJ Hooda,859,745,47,111.2074257,41.49366337,638,427,31,116.4635714,40.025,0,1,1,0,100,164,164,8,89.61291667,55.31875,867,689,35,109.8891176,36.71220588,466,320,36,124.64,42.2612963
BCJ Cutting,189,125,9,138.2588235,46.93294118,49,16,1,270,6.666666667,,,,,,,,,,,22,20,2,141.27,30.755,216,121,8,156.62,44.54266667
CH Gayle,1484,1265,41,111.1892908,63.73347518,2745,1730,69,147.3543,49.1537,768,351,15,222.8459259,34.49925926,2405,1774,65,124.554963,60.59488889,2011,1288,45,137.7460526,47.62223684,581,284,15,200.36,36.53785714
Mandeep Singh,865,749,37,101.4436082,50.34690722,765,584,40,126.3066038,42.0554717,76,55,3,129.528,33.5,633,554,32,89.55196429,59.39767857,663,560,24,111.522,38.0228,410,274,24,123.14,35.21641026
TM Head,630,419,18,133.5590385,53.12576923,894,484,27,170.9153125,34.369375,32,12,2,173.81,58.33333333,1010,568,24,140.8582979,54.67276596,446,291,21,137.9303846,32.54115385,100,56,2,166.18,25.844
KM Jadhav,683,618,30,106.1566667,43.08469136,508,349,20,137.2751351,39.47054054,17,14,1,121.43,42.86,67,81,7,68.55666667,73.51944444,576,493,23,106.2606,35.4854,565,407,21,118.57,39.3188
SR Watson,1261,1216,42,101.0784397,56.57092199,2281,1430,77,150.9620213,41.33617021,338,167,5,211.5907692,22.04769231,1421,1261,41,102.295,58.43843137,2006,1307,60,129.2866316,44.13105263,453,245,23,158.20,36.37756757
Sachin Baby,103,83,6,106.0172727,53.69090909,41,35,3,107.425,25.0325,,,,,,0,3,1,0,100,49,55,3,75.01166667,47.30333333,95,60,5,149.72,43.14285714
STR Binny,542,476,27,105.7112121,47.17409091,338,207,16,151.1792593,37.59333333,,,,,,18,25,0,53.57142857,73.81,465,395,24,95.00255814,49.30093023,397,263,19,132.69,37
PA Patel,1252,1109,41,99.92110294,59.11360294,1499,1187,75,119.3825275,44.95549451,97,62,5,136.82125,42.70875,1904,1565,71,104.2157692,57.08138462,849,722,42,102.7327586,40.37775862,95,71,8,123.48,42.33846154
JC Buttler,1641,1238,33,124.3450735,51.54595588,2390,1559,69,141.9978218,43.80079208,616,308,13,189.1718182,30.84318182,1855,1308,43,122.5161321,55.87962264,1988,1380,46,127.7165556,35.44766667,804,417,26,176.03,36.57155556
RG Sharma,2573,2370,90,102.6508,53.71970909,4234,2846,130,133.344011,39.13285714,524,301,24,153.9405714,36.76228571,2566,2031,87,106.9947396,57.60697917,3238,2643,95,106.4023757,40.64022099,1527,843,62,157.65,37.89233333
N Rana,1204,1022,37,113.7855372,52.26289256,1739,1134,67,134.0359259,46.50839506,135,79,7,161.5055556,49.30222222,805,664,21,101.2628916,62.39144578,1827,1328,66,123.2794792,40.253125,446,243,24,183.75,39.06484848
AT Rayudu,1684,1512,60,105.3587568,47.07805405,2508,1793,80,129.7846154,37.68179487,156,104,8,128.1466667,41.40916667,777,732,23,88.61402439,58.34280488,2392,1979,69,107.7704317,38.27,1179,698,56,144.46,40.59428571
KH Pandya,1039,864,48,114.0726829,45.43813008,913,602,34,137.4780357,40.65732143,30,15,1,164.2866667,43.65333333,86,80,5,111.6494737,45.62368421,1096,897,43,106.212987,45.77493506,800,504,35,144.44,38.34611111
KA Pollard,1779,1419,57,122.6719643,47.40363095,1627,895,61,155.1534375,41.72802083,31,15,2,212.5,39.285,53,49,3,121.2815385,44.74307692,1352,1086,37,107.9860169,46.07720339,2032,1194,80,153.97,42.27898438
HH Pandya,1731,1197,51,136.4923333,42.65,1141,773,50,150.6239759,40.78650602,92,55,3,150.9857143,20.99571429,183,182,8,92.50933333,62.59866667,1271,948,33,120.8065625,40.2890625,1510,895,63,151.21,40.36443396
TG Southee,84,83,9,87.19263158,45.64315789,36,24,2,101.7866667,60.12,,,,,,,,,,,14,27,4,48.24,66.11166667,106,80,7,105.23,38.05666667
AM Rahane,1942,1753,58,103.0823858,54.58974619,2920,2198,97,119.606391,40.11736842,505,322,17,135.9974194,35.01451613,2759,2240,77,109.2996154,53.43626374,2099,1710,75,110.2738739,34.47900901,509,323,20,142.67,33.14411765
