batter,total_matches,total_runs,total_balls,total_dismissals,highest_score,debut_year,final_year,overall_strike_rate,batting_average,fifties,hundreds,teams_represented,last_known_team,predominant_batting_position
V Kohli,275,9346,6930,229,113,2008,2026,134.86,40.81,69,9,"Royal Challengers Bangalore, Royal Challengers Bengaluru",Royal Challengers Bengaluru,Opener
RG Sharma,275,7331,5517,244,109,2008,2026,132.88,30.05,49,2,"Mumbai Indians, Sunrisers Hyderabad",Mumbai Indians,Opener
S Dhawan,221,6769,5326,187,106,2008,2024,127.09,36.2,51,2,"Delhi Capitals, Mumbai Indians, Punjab Kings, Sunrisers Hyderabad",Punjab Kings,Opener
DA Warner,184,6567,4702,157,126,2009,2024,139.66,41.83,62,4,"Delhi Capitals, Sunrisers Hyderabad",Delhi Capitals,Opener
KL Rahul,149,5828,4188,123,152,2013,2026,139.16,47.38,45,6,"Delhi Capitals, Lucknow Super Giants, Punjab Kings, Royal Challengers Bangalore, Sunrisers Hyderabad",Delhi Capitals,Opener
SK Raina,200,5536,4046,162,100,2008,2021,136.83,34.17,39,1,"Chennai Super Kings, Gujarat Lions",Chennai Super Kings,No. 3
MS Dhoni,241,5439,3957,139,84,2008,2025,137.45,39.13,24,0,"Chennai Super Kings, Rising Pune Supergiant",Chennai Super Kings,Finisher
AM Rahane,197,5367,4273,172,105,2008,2026,125.6,31.2,35,2,"Chennai Super Kings, Delhi Capitals, Kolkata Knight Riders, Mumbai Indians, Rajasthan Royals, Rising Pune Supergiant",Kolkata Knight Riders,Opener
SV Samson,185,5181,3671,159,119,2013,2026,141.13,32.58,27,5,"Chennai Super Kings, Delhi Capitals, Rajasthan Royals",Chennai Super Kings,No. 3
AB de Villiers,170,5181,3411,122,133,2008,2021,151.89,42.47,41,3,"Delhi Capitals, Royal Challengers Bangalore",Royal Challengers Bangalore,No. 4
CH Gayle,141,4997,3346,124,175,2009,2021,149.34,40.3,32,6,"Kolkata Knight Riders, Punjab Kings, Royal Challengers Bangalore",Punjab Kings,Opener
RV Uthappa,197,4954,3801,175,88,2008,2022,130.33,28.31,27,0,"Chennai Super Kings, Kolkata Knight Riders, Mumbai Indians, Pune Warriors, Rajasthan Royals, Royal Challengers Bangalore",Chennai Super Kings,Opener
KD Karthik,233,4843,3580,175,97,2008,2024,135.28,27.67,22,0,"Delhi Capitals, Gujarat Lions, Kolkata Knight Riders, Mumbai Indians, Punjab Kings, Royal Challengers Bangalore, Royal Challengers Bengaluru",Royal Challengers Bengaluru,Finisher
F du Plessis,147,4773,3515,128,96,2012,2025,135.79,37.29,39,0,"Chennai Super Kings, Delhi Capitals, Rising Pune Supergiant, Royal Challengers Bangalore, Royal Challengers Bengaluru",Delhi Capitals,Opener
JC Buttler,136,4647,3105,115,124,2016,2026,149.66,40.41,28,7,"Gujarat Titans, Mumbai Indians, Rajasthan Royals",Gujarat Titans,Opener
Shubman Gill,130,4598,3236,111,129,2018,2026,142.09,41.42,32,5,"Gujarat Titans, Kolkata Knight Riders",Gujarat Titans,Opener
SA Yadav,164,4581,3084,132,103,2012,2026,148.54,34.7,31,2,"Kolkata Knight Riders, Mumbai Indians",Mumbai Indians,No. 3
AT Rayudu,185,4348,3409,148,100,2010,2023,127.54,29.38,22,1,"Chennai Super Kings, Mumbai Indians",Chennai Super Kings,Finisher
SS Iyer,144,4233,3095,117,101,2015,2026,136.77,36.18,32,1,"Delhi Capitals, Kolkata Knight Riders, Punjab Kings",Punjab Kings,No. 3
G Gambhir,151,4217,3404,128,93,2008,2018,123.88,32.95,36,0,"Delhi Capitals, Kolkata Knight Riders",Delhi Capitals,Opener
MK Pandey,163,4021,3297,135,114,2008,2026,121.96,29.79,22,1,"Delhi Capitals, Kolkata Knight Riders, Lucknow Super Giants, Mumbai Indians, Pune Warriors, Royal Challengers Bangalore, Sunrisers Hyderabad",Kolkata Knight Riders,No. 3
SR Watson,141,3880,2813,123,117,2008,2020,137.93,31.54,21,4,"Chennai Super Kings, Rajasthan Royals, Royal Challengers Bangalore",Chennai Super Kings,Opener
RR Pant,136,3879,2644,111,128,2016,2026,146.71,34.95,20,2,"Delhi Capitals, Lucknow Super Giants",Lucknow Super Giants,No. 4
Ishan Kishan,127,3600,2508,115,106,2016,2026,143.54,31.3,23,1,"Gujarat Lions, Mumbai Indians, Sunrisers Hyderabad",Sunrisers Hyderabad,Opener
RA Jadeja,205,3526,2699,119,77,2008,2026,130.64,29.63,5,0,"Chennai Super Kings, Gujarat Lions, Kochi Tuskers Kerala, Rajasthan Royals",Rajasthan Royals,Finisher
Q de Kock,118,3444,2553,107,140,2013,2026,134.9,32.19,24,3,"Delhi Capitals, Kolkata Knight Riders, Lucknow Super Giants, Mumbai Indians, Royal Challengers Bangalore, Sunrisers Hyderabad",Mumbai Indians,Opener
KA Pollard,168,3437,2329,119,87,2010,2022,147.57,28.88,16,0,Mumbai Indians,Mumbai Indians,Finisher
DA Miller,143,3288,2358,89,101,2012,2026,139.44,36.94,14,1,"Delhi Capitals, Gujarat Titans, Lucknow Super Giants, Punjab Kings, Rajasthan Royals",Delhi Capitals,Finisher
YK Pathan,153,3222,2245,105,100,2008,2019,143.52,30.69,14,1,"Kolkata Knight Riders, Rajasthan Royals, Sunrisers Hyderabad",Sunrisers Hyderabad,Finisher
N Rana,121,3078,2235,111,91,2016,2026,137.72,27.73,22,0,"Delhi Capitals, Kolkata Knight Riders, Mumbai Indians, Rajasthan Royals",Delhi Capitals,No. 4
HH Pandya,150,2964,2025,104,91,2015,2026,146.37,28.5,10,0,"Gujarat Titans, Mumbai Indians",Mumbai Indians,Finisher
WP Saha,143,2934,2300,118,115,2008,2024,127.57,24.86,13,1,"Chennai Super Kings, Gujarat Titans, Kolkata Knight Riders, Punjab Kings, Sunrisers Hyderabad",Gujarat Titans,Opener
BB McCullum,109,2882,2190,102,158,2008,2018,131.6,28.25,13,2,"Chennai Super Kings, Gujarat Lions, Kochi Tuskers Kerala, Kolkata Knight Riders, Royal Challengers Bangalore",Royal Challengers Bangalore,Opener
PA Patel,136,2848,2358,121,81,2008,2019,120.78,23.54,13,0,"Chennai Super Kings, Kochi Tuskers Kerala, Mumbai Indians, Royal Challengers Bangalore, Sunrisers Hyderabad",Royal Challengers Bangalore,Opener
RD Gaikwad,84,2839,2093,72,108,2020,2026,135.64,39.43,22,2,Chennai Super Kings,Chennai Super Kings,Opener
GJ Maxwell,134,2820,1818,114,95,2012,2025,155.12,24.74,18,0,"Delhi Capitals, Mumbai Indians, Punjab Kings, Royal Challengers Bangalore, Royal Challengers Bengaluru",Punjab Kings,No. 4
MA Agarwal,125,2764,2066,117,106,2011,2025,133.79,23.62,13,1,"Delhi Capitals, Punjab Kings, Rising Pune Supergiant, Royal Challengers Bangalore, Royal Challengers Bengaluru, Sunrisers Hyderabad",Royal Challengers Bengaluru,Opener
Yuvraj Singh,126,2754,2122,107,83,2008,2019,129.78,25.74,13,0,"Delhi Capitals, Mumbai Indians, Pune Warriors, Punjab Kings, Royal Challengers Bangalore, Sunrisers Hyderabad",Mumbai Indians,No. 4
V Sehwag,104,2728,1755,95,122,2008,2015,155.44,28.72,16,2,"Delhi Capitals, Punjab Kings",Punjab Kings,Opener
AD Russell,114,2655,1525,89,88,2012,2025,174.1,29.83,12,0,"Delhi Capitals, Kolkata Knight Riders",Kolkata Knight Riders,Finisher
M Vijay,105,2619,2149,93,127,2009,2020,121.87,28.16,13,2,"Chennai Super Kings, Delhi Capitals, Punjab Kings",Chennai Super Kings,Opener
YBK Jaiswal,82,2593,1697,76,124,2020,2026,152.8,34.12,18,2,Rajasthan Royals,Rajasthan Royals,Opener
N Pooran,100,2527,1543,77,87,2019,2026,163.77,32.82,15,0,"Lucknow Super Giants, Punjab Kings, Sunrisers Hyderabad",Lucknow Super Giants,Finisher
B Sai Sudharsan,57,2515,1686,51,108,2022,2026,149.17,49.31,20,3,Gujarat Titans,Gujarat Titans,Opener
SPD Smith,93,2495,1945,70,101,2012,2021,128.28,35.64,11,1,"Delhi Capitals, Pune Warriors, Rajasthan Royals, Rising Pune Supergiant",Delhi Capitals,No. 3
SE Marsh,69,2489,1871,61,115,2008,2017,133.03,40.8,20,1,Punjab Kings,Punjab Kings,No. 3
JH Kallis,95,2427,2222,83,89,2008,2014,109.23,29.24,17,0,"Kolkata Knight Riders, Royal Challengers Bangalore",Kolkata Knight Riders,Opener
DR Smith,88,2385,1764,80,87,2008,2017,135.2,29.81,17,0,"Chennai Super Kings, Gujarat Lions, Mumbai Indians, Sunrisers Hyderabad",Gujarat Lions,Opener
Abhishek Sharma,89,2379,1389,80,141,2018,2026,171.27,29.74,13,2,"Delhi Capitals, Sunrisers Hyderabad",Sunrisers Hyderabad,Opener
SR Tendulkar,78,2334,1948,67,100,2008,2013,119.82,34.84,13,1,Mumbai Indians,Mumbai Indians,Opener
RA Tripathi,98,2291,1662,85,93,2017,2025,137.85,26.95,12,0,"Chennai Super Kings, Kolkata Knight Riders, Rajasthan Royals, Rising Pune Supergiant, Sunrisers Hyderabad",Chennai Super Kings,No. 3
D Padikkal,89,2270,1705,84,101,2020,2026,133.14,27.02,14,1,"Lucknow Super Giants, Rajasthan Royals, Royal Challengers Bangalore, Royal Challengers Bengaluru",Royal Challengers Bengaluru,Opener
MP Stoinis,108,2242,1520,77,124,2016,2026,147.5,29.12,10,1,"Delhi Capitals, Lucknow Super Giants, Punjab Kings, Royal Challengers Bangalore",Punjab Kings,Finisher
R Dravid,82,2174,1882,75,75,2008,2013,115.52,28.99,11,0,"Rajasthan Royals, Royal Challengers Bangalore",Rajasthan Royals,Opener
KS Williamson,76,2132,1697,58,89,2015,2024,125.63,36.76,18,0,"Gujarat Titans, Sunrisers Hyderabad",Gujarat Titans,No. 3
S Dube,87,2129,1464,67,95,2019,2026,145.42,31.78,10,0,"Chennai Super Kings, Rajasthan Royals, Royal Challengers Bangalore",Chennai Super Kings,Finisher
H Klaasen,60,2104,1262,49,105,2018,2026,166.72,42.94,13,2,"Rajasthan Royals, Royal Challengers Bangalore, Sunrisers Hyderabad",Sunrisers Hyderabad,Finisher
AJ Finch,90,2092,1635,82,88,2010,2022,127.95,25.51,15,0,"Delhi Capitals, Gujarat Lions, Kolkata Knight Riders, Mumbai Indians, Pune Warriors, Punjab Kings, Rajasthan Royals, Royal Challengers Bangalore, Sunrisers Hyderabad",Kolkata Knight Riders,Opener
AR Patel,134,2089,1562,94,66,2014,2026,133.74,22.22,4,0,"Delhi Capitals, Punjab Kings",Delhi Capitals,Lower Order
AC Gilchrist,80,2069,1495,75,109,2008,2013,138.39,27.59,11,2,"Punjab Kings, Sunrisers Hyderabad",Punjab Kings,Opener
JP Duminy,75,2029,1636,48,78,2009,2018,124.02,42.27,14,0,"Delhi Capitals, Mumbai Indians, Sunrisers Hyderabad",Mumbai Indians,Finisher
KH Pandya,123,1982,1481,83,86,2016,2026,133.83,23.88,3,0,"Lucknow Super Giants, Mumbai Indians, Royal Challengers Bengaluru",Royal Challengers Bengaluru,Lower Order
MEK Hussey,58,1977,1612,49,116,2008,2015,122.64,40.35,15,1,"Chennai Super Kings, Mumbai Indians",Chennai Super Kings,Opener
PP Shaw,79,1892,1283,76,99,2018,2024,147.47,24.89,14,0,Delhi Capitals,Delhi Capitals,Opener
R Parag,86,1879,1302,70,95,2019,2026,144.32,26.84,9,0,Rajasthan Royals,Rajasthan Royals,Finisher
P Simran Singh,65,1865,1189,62,103,2019,2026,156.85,30.08,14,1,Punjab Kings,Punjab Kings,Opener
Tilak Varma,65,1858,1284,50,101,2022,2026,144.7,37.16,10,1,Mumbai Indians,Mumbai Indians,Finisher
MR Marsh,62,1855,1249,56,117,2010,2026,148.52,33.12,12,2,"Delhi Capitals, Lucknow Super Giants, Pune Warriors, Rising Pune Supergiant, Sunrisers Hyderabad",Lucknow Super Giants,Opener
SP Narine,122,1820,1101,98,109,2012,2026,165.3,18.57,7,1,Kolkata Knight Riders,Kolkata Knight Riders,Opener
DPMD Jayawardene,78,1808,1464,58,110,2008,2013,123.5,31.17,10,1,"Delhi Capitals, Kochi Tuskers Kerala, Punjab Kings",Delhi Capitals,Opener
KK Nair,78,1712,1304,70,89,2013,2026,131.29,24.46,11,0,"Delhi Capitals, Punjab Kings, Rajasthan Royals, Royal Challengers Bangalore",Delhi Capitals,No. 3
Mandeep Singh,97,1706,1388,80,77,2010,2023,122.91,21.32,6,0,"Delhi Capitals, Kolkata Knight Riders, Punjab Kings, Royal Challengers Bangalore",Kolkata Knight Riders,Finisher
MK Tiwary,83,1695,1449,57,75,2008,2018,116.98,29.74,7,0,"Delhi Capitals, Kolkata Knight Riders, Punjab Kings, Rising Pune Supergiant",Punjab Kings,No. 4
KC Sangakkara,68,1687,1392,65,94,2008,2013,121.19,25.95,10,0,"Punjab Kings, Sunrisers Hyderabad",Sunrisers Hyderabad,No. 3
VR Iyer,62,1677,1181,53,104,2021,2026,142.0,31.64,13,1,"Kolkata Knight Riders, Royal Challengers Bengaluru",Royal Challengers Bengaluru,Opener
JM Bairstow,52,1674,1146,47,114,2019,2025,146.07,35.62,9,2,"Mumbai Indians, Punjab Kings, Sunrisers Hyderabad",Mumbai Indians,Opener
AK Markram,66,1671,1234,54,68,2021,2026,135.41,30.94,10,0,"Lucknow Super Giants, Punjab Kings, Sunrisers Hyderabad",Lucknow Super Giants,No. 4
RM Patidar,52,1612,980,47,112,2021,2026,164.49,34.3,14,1,"Royal Challengers Bangalore, Royal Challengers Bengaluru",Royal Challengers Bengaluru,No. 4
SO Hetmyer,85,1566,1049,56,75,2019,2026,149.29,27.96,5,0,"Delhi Capitals, Rajasthan Royals, Royal Challengers Bangalore",Rajasthan Royals,Finisher
DJ Bravo,110,1560,1204,68,70,2008,2022,129.57,22.94,5,0,"Chennai Super Kings, Gujarat Lions, Mumbai Indians",Chennai Super Kings,Finisher
TM Head,52,1556,915,47,102,2016,2026,170.05,33.11,10,1,"Royal Challengers Bangalore, Sunrisers Hyderabad",Sunrisers Hyderabad,Opener
NV Ojha,94,1554,1313,72,94,2009,2018,118.35,21.58,6,0,"Delhi Capitals, Rajasthan Royals, Sunrisers Hyderabad",Delhi Capitals,Finisher
DJ Hooda,101,1497,1173,79,64,2015,2025,127.62,18.95,8,0,"Chennai Super Kings, Lucknow Super Giants, Punjab Kings, Rajasthan Royals, Sunrisers Hyderabad",Chennai Super Kings,Finisher
SS Tiwary,73,1494,1244,49,61,2008,2021,120.1,30.49,8,0,"Delhi Capitals, Mumbai Indians, Rising Pune Supergiant, Royal Challengers Bangalore",Mumbai Indians,Finisher
S Badrinath,65,1441,1212,46,71,2008,2013,118.89,31.33,11,0,Chennai Super Kings,Chennai Super Kings,No. 4
EJG Morgan,74,1406,1148,59,68,2010,2021,122.47,23.83,5,0,"Kolkata Knight Riders, Punjab Kings, Royal Challengers Bangalore, Sunrisers Hyderabad",Kolkata Knight Riders,Finisher
BJ Hodge,63,1400,1118,41,73,2008,2014,125.22,34.15,6,0,"Kochi Tuskers Kerala, Kolkata Knight Riders, Rajasthan Royals",Rajasthan Royals,Finisher
RK Singh,62,1398,956,41,87,2018,2026,146.23,34.1,6,0,Kolkata Knight Riders,Kolkata Knight Riders,Finisher
SC Ganguly,56,1349,1263,52,91,2008,2012,106.81,25.94,7,0,"Kolkata Knight Riders, Pune Warriors",Pune Warriors,Opener
CA Lynn,42,1329,945,38,93,2012,2021,140.63,34.97,10,0,"Kolkata Knight Riders, Mumbai Indians, Sunrisers Hyderabad",Mumbai Indians,Opener
DJ Hussey,61,1322,1075,46,71,2008,2014,122.98,28.74,5,0,"Chennai Super Kings, Kolkata Knight Riders, Punjab Kings",Chennai Super Kings,No. 4
R Tewatia,91,1302,943,53,68,2014,2026,138.07,24.57,2,0,"Delhi Capitals, Gujarat Titans, Punjab Kings, Rajasthan Royals",Gujarat Titans,Finisher
PD Salt,40,1258,721,37,89,2023,2026,174.48,34.0,12,0,"Delhi Capitals, Kolkata Knight Riders, Royal Challengers Bengaluru",Royal Challengers Bengaluru,Opener
V Shankar,63,1233,950,46,69,2017,2025,129.79,26.8,7,0,"Chennai Super Kings, Delhi Capitals, Gujarat Titans, Sunrisers Hyderabad",Chennai Super Kings,Finisher
KM Jadhav,81,1208,981,51,69,2010,2023,123.14,23.69,4,0,"Chennai Super Kings, Delhi Capitals, Kochi Tuskers Kerala, Royal Challengers Bangalore, Sunrisers Hyderabad",Royal Challengers Bangalore,Finisher
Dhruv Jurel,51,1195,775,36,81,2023,2026,154.19,33.19,10,0,Rajasthan Royals,Rajasthan Royals,Finisher
A Badoni,56,1178,836,45,74,2022,2026,140.91,26.18,7,0,Lucknow Super Giants,Lucknow Super Giants,Finisher
