batter,year,matches,runs,balls,dismissals,fifties,hundreds,strike_rate,average
A Ashish Reddy,2012,5,35,29,4,0,0,120.69,8.75
A Ashish Reddy,2013,10,125,89,6,0,0,140.45,20.83
A Ashish Reddy,2015,5,73,46,3,0,0,158.7,24.33
A Ashish Reddy,2016,3,47,29,2,0,0,162.07,23.5
A Badoni,2022,11,161,130,8,1,0,123.85,20.12
A Badoni,2023,12,238,172,9,1,0,138.37,26.44
A Badoni,2024,12,235,171,8,2,0,137.43,29.38
A Badoni,2025,11,329,222,10,2,0,148.2,32.9
A Badoni,2026,10,215,141,10,1,0,152.48,21.5
A Manohar,2022,7,108,75,6,0,0,144.0,18.0
A Manohar,2023,6,114,83,6,0,0,137.35,19.0
A Manohar,2024,2,9,16,2,0,0,56.25,4.5
A Manohar,2025,5,61,61,5,0,0,100.0,12.2
A Mhatre,2025,7,240,127,7,1,0,188.98,34.29
A Mhatre,2026,6,201,113,5,2,0,177.88,40.2
A Mishra,2008,3,37,42,3,0,0,88.1,12.33
A Mishra,2009,5,26,20,2,0,0,130.0,13.0
A Mishra,2010,7,39,51,4,0,0,76.47,9.75
A Mishra,2011,9,68,49,4,0,0,138.78,17.0
A Mishra,2012,5,16,20,3,0,0,80.0,5.33
A Mishra,2013,6,89,96,3,0,0,92.71,29.67
A Mishra,2014,2,4,7,1,0,0,57.14,4.0
A Mishra,2015,4,8,12,2,0,0,66.67,4.0
A Mishra,2016,2,4,14,2,0,0,28.57,2.0
A Mishra,2017,6,49,52,1,0,0,94.23,49.0
A Mishra,2018,1,1,2,0,0,0,50.0,
A Mishra,2019,4,21,24,2,0,0,87.5,10.5
A Mishra,2023,1,19,30,1,0,0,63.33,19.0
A Raghuvanshi,2024,7,163,105,7,1,0,155.24,23.29
A Raghuvanshi,2025,11,300,215,9,1,0,139.53,33.33
A Raghuvanshi,2026,12,422,288,8,5,0,146.53,52.75
A Symonds,2008,3,161,105,2,0,1,153.33,80.5
A Symonds,2009,8,249,166,7,1,0,150.0,35.57
A Symonds,2010,16,429,341,12,4,0,125.81,35.75
A Symonds,2011,9,135,138,3,0,0,97.83,45.0
AA Jhunjhunwala,2010,10,183,166,8,1,0,110.24,22.88
AA Jhunjhunwala,2011,2,10,18,2,0,0,55.56,5.0
AA Jhunjhunwala,2012,3,24,26,2,0,0,92.31,12.0
AB Agarkar,2008,6,54,46,4,0,0,117.39,13.5
AB Agarkar,2009,5,66,57,2,0,0,115.79,33.0
AB Agarkar,2010,4,40,29,1,0,0,137.93,40.0
AB Agarkar,2011,1,7,6,0,0,0,116.67,
AB Agarkar,2013,2,12,16,1,0,0,75.0,12.0
AB McDonald,2009,1,3,4,1,0,0,75.0,3.0
AB McDonald,2010,3,65,52,0,0,0,125.0,
AB McDonald,2011,1,8,7,1,0,0,114.29,8.0
AB McDonald,2012,3,47,35,2,0,0,134.29,23.5
AB McDonald,2013,1,0,2,1,0,0,0.0,0.0
AB de Villiers,2008,6,95,98,4,0,0,96.94,23.75
AB de Villiers,2009,13,465,355,9,3,1,130.99,51.67
AB de Villiers,2010,7,111,119,5,0,0,93.28,22.2
AB de Villiers,2011,13,312,243,8,2,0,128.4,39.0
AB de Villiers,2012,13,319,198,8,3,0,161.11,39.88
AB de Villiers,2013,14,373,223,10,3,0,167.26,37.3
AB de Villiers,2014,13,395,249,11,3,0,158.63,35.91
AB de Villiers,2015,14,513,293,8,2,1,175.09,64.12
AB de Villiers,2016,16,687,407,13,6,1,168.8,52.85
AB de Villiers,2017,9,216,163,7,1,0,132.52,30.86
AB de Villiers,2018,11,480,275,9,6,0,174.55,53.33
AB de Villiers,2019,13,442,287,10,5,0,154.01,44.2
AB de Villiers,2020,14,460,290,10,5,0,158.62,46.0
AB de Villiers,2021,14,313,211,10,2,0,148.34,31.3
AC Blizzard,2011,6,120,87,6,1,0,137.93,20.0
AC Blizzard,2012,1,0,3,1,0,0,0.0,0.0
AC Gilchrist,2008,14,436,318,13,3,1,137.11,33.54
AC Gilchrist,2009,16,495,325,16,3,0,152.31,30.94
AC Gilchrist,2010,16,289,185,16,1,0,156.22,18.06
AC Gilchrist,2011,14,383,295,14,2,1,129.83,27.36
AC Gilchrist,2012,7,172,143,4,1,0,120.28,43.0
AC Gilchrist,2013,13,294,229,12,1,0,128.38,24.5
AC Voges,2010,7,181,143,4,0,0,126.57,45.25
AD Hales,2018,6,148,118,6,0,0,125.42,24.67
AD Mathews,2009,1,16,13,1,0,0,123.08,16.0
AD Mathews,2010,10,233,184,6,1,0,126.63,38.83
AD Mathews,2012,8,127,108,6,0,0,117.59,21.17
AD Mathews,2013,10,172,139,7,0,0,123.74,24.57
AD Mathews,2015,10,144,104,6,0,0,138.46,24.0
AD Mathews,2017,2,32,27,2,0,0,118.52,16.0
AD Russell,2012,2,47,26,2,0,0,180.77,23.5
AD Russell,2013,2,11,14,2,0,0,78.57,5.5
AD Russell,2014,2,2,8,2,0,0,25.0,1.0
AD Russell,2015,11,326,169,7,3,0,192.9,46.57
AD Russell,2016,8,188,114,7,0,0,164.91,26.86
AD Russell,2018,14,316,171,11,1,0,184.8,28.73
AD Russell,2019,13,514,252,9,4,0,203.97,57.11
AD Russell,2020,9,117,81,9,0,0,144.44,13.0
AD Russell,2021,8,183,120,6,1,0,152.5,30.5
AD Russell,2022,12,335,192,9,1,0,174.48,37.22
AD Russell,2023,14,227,156,11,0,0,145.51,20.64
AD Russell,2024,9,222,120,6,1,0,185.0,37.0
AD Russell,2025,10,167,102,8,1,0,163.73,20.88
AJ Finch,2010,1,21,21,1,0,0,100.0,21.0
AJ Finch,2011,6,47,46,6,0,0,102.17,7.83
AJ Finch,2012,2,55,51,2,0,0,107.84,27.5
AJ Finch,2013,14,456,336,14,4,0,135.71,32.57
AJ Finch,2014,13,309,263,11,2,0,117.49,28.09
AJ Finch,2015,3,23,33,3,0,0,69.7,7.67
AJ Finch,2016,12,393,299,8,5,0,131.44,49.12
AJ Finch,2017,13,300,184,12,2,0,163.04,25.0
AJ Finch,2018,9,134,100,8,0,0,134.0,16.75
AJ Finch,2020,12,268,241,12,1,0,111.2,22.33
AJ Finch,2022,5,86,61,5,1,0,140.98,17.2
AK Markram,2021,6,146,119,5,0,0,122.69,29.2
AK Markram,2022,12,381,274,8,3,0,139.05,47.62
AK Markram,2023,13,248,197,11,1,0,125.89,22.55
AK Markram,2024,11,220,177,9,1,0,124.29,24.44
AK Markram,2025,13,445,299,13,5,0,148.83,34.23
AK Markram,2026,11,231,168,8,0,0,137.5,28.88
AL Menaria,2011,10,180,152,9,0,0,118.42,20.0
AL Menaria,2012,12,220,202,11,0,0,108.91,20.0
AL Menaria,2013,1,1,2,1,0,0,50.0,1.0
AM Nayar,2008,10,206,138,8,0,0,149.28,25.75
AM Nayar,2009,11,193,152,9,0,0,126.97,21.44
AM Nayar,2010,3,58,51,2,0,0,113.73,29.0
AM Nayar,2011,9,61,67,6,0,0,91.04,10.17
AM Nayar,2012,4,45,49,2,0,0,91.84,22.5
AM Nayar,2013,9,66,73,6,0,0,90.41,11.0
AM Nayar,2014,4,43,47,3,0,0,91.49,14.33
AM Rahane,2008,2,4,17,2,0,0,23.53,2.0
AM Rahane,2009,7,144,123,6,2,0,117.07,24.0
AM Rahane,2011,7,120,98,5,1,0,122.45,24.0
AM Rahane,2012,16,560,433,13,3,1,129.33,43.08
AM Rahane,2013,18,488,458,14,4,0,106.55,34.86
AM Rahane,2014,12,339,291,10,3,0,116.49,33.9
AM Rahane,2015,13,540,413,11,4,0,130.75,49.09
AM Rahane,2016,14,480,379,10,6,0,126.65,48.0
AM Rahane,2017,16,382,323,15,2,0,118.27,25.47
AM Rahane,2018,14,370,313,13,1,0,118.21,28.46
AM Rahane,2019,13,393,285,12,1,1,137.89,32.75
AM Rahane,2020,8,113,107,8,1,0,105.61,14.12
AM Rahane,2021,1,8,8,1,0,0,100.0,8.0
AM Rahane,2022,7,133,128,7,0,0,103.91,19.0
AM Rahane,2023,11,326,189,10,2,0,172.49,32.6
AM Rahane,2024,12,242,196,12,0,0,123.47,20.17
AM Rahane,2025,12,390,264,11,3,0,147.73,35.45
AM Rahane,2026,14,335,248,12,2,0,135.08,27.92
AP Tare,2010,4,50,36,4,0,0,138.89,12.5
AP Tare,2013,5,123,84,5,1,0,146.43,24.6
AP Tare,2014,11,126,98,8,0,0,128.57,15.75
AP Tare,2015,2,14,17,2,0,0,82.35,7.0
AP Tare,2016,2,8,15,2,0,0,53.33,4.0
AP Tare,2017,3,18,23,3,0,0,78.26,6.0
AR Patel,2014,7,62,60,5,0,0,103.33,12.4
AR Patel,2015,12,206,174,9,0,0,118.39,22.89
