bowler,league_matches,league_balls,league_runs,league_wickets,league_economy,league_bowling_sr,league_average,knockout_matches,knockout_balls,knockout_runs,knockout_wickets,knockout_economy,knockout_bowling_sr,knockout_average
A Ashish Reddy,20,264,400,18,9.09,14.67,22.22,,,,,,,
A Chandila,12,234,245,11,6.28,21.27,22.27,,,,,,,
A Choudhary,5,102,144,5,8.47,20.4,28.8,,,,,,,
A Kamboj,25,498,823,31,9.92,16.06,26.55,,,,,,,
A Kumble,39,896,1008,40,6.75,22.4,25.2,3.0,74.0,81.0,5.0,6.57,14.8,16.2
A Mishra,157,3272,4083,166,7.49,19.71,24.6,5.0,120.0,110.0,8.0,5.5,15.0,13.75
A Mithun,13,254,397,6,9.38,42.33,66.17,3.0,43.0,80.0,1.0,11.16,43.0,80.0
A Nehra,82,1771,2316,97,7.85,18.26,23.88,6.0,146.0,221.0,9.0,9.08,16.22,24.56
A Nortje,44,1016,1566,55,9.25,18.47,28.47,5.0,112.0,174.0,6.0,9.32,18.67,29.0
A Singh,23,474,639,28,8.09,16.93,22.82,,,,,,,
A Symonds,27,468,633,16,8.12,29.25,39.56,3.0,60.0,61.0,4.0,6.1,15.0,15.25
A Zampa,19,413,603,28,8.76,14.75,21.54,3.0,54.0,53.0,3.0,5.89,18.0,17.67
AA Chavan,13,248,339,8,8.2,31.0,42.38,,,,,,,
AB Agarkar,42,784,1174,29,8.98,27.03,40.48,,,,,,,
AB Dinda,75,1530,2103,69,8.25,22.17,30.48,,,,,,,
AB McDonald,10,186,263,11,8.48,16.91,23.91,,,,,,,
AC Thomas,15,317,416,14,7.87,22.64,29.71,,,,,,,
AD Mascarenhas,13,308,365,19,7.11,16.21,19.21,,,,,,,
AD Mathews,44,792,1095,27,8.3,29.33,40.56,,,,,,,
AD Russell,116,1747,2813,119,9.66,14.68,23.64,5.0,72.0,96.0,4.0,8.0,18.0,24.0
AF Milne,11,228,381,7,10.03,32.57,54.43,,,,,,,
AG Murtaza,12,264,322,9,7.32,29.33,35.78,,,,,,,
AJ Hosein,8,174,239,9,8.24,19.33,26.56,,,,,,,
AJ Tye,30,687,1005,42,8.78,16.36,23.93,,,,,,,
AK Markram,22,211,343,6,9.75,35.17,57.17,2.0,13.0,15.0,0.0,6.92,,
AM Ghazanfar,11,233,390,15,10.04,15.53,26.0,,,,,,,
AM Nayar,19,229,323,9,8.46,25.44,35.89,,,,,,,
AM Salvi,7,150,205,7,8.2,21.43,29.29,,,,,,,
AN Ahmed,16,324,459,11,8.5,29.45,41.73,1.0,25.0,56.0,1.0,13.44,25.0,56.0
AR Patel,163,3357,4247,134,7.59,25.05,31.69,10.0,228.0,256.0,5.0,6.74,45.6,51.2
AS Joseph,21,423,680,21,9.65,20.14,32.38,1.0,12.0,27.0,0.0,13.5,,
AS Rajpoot,28,533,830,24,9.34,22.21,34.58,1.0,6.0,14.0,0.0,14.0,,
AS Roy,22,323,482,15,8.95,21.53,32.13,,,,,,,
Abhishek Sharma,35,342,534,9,9.37,38.0,59.33,1.0,24.0,24.0,2.0,6.0,12.0,12.0
Akash Deep,14,282,554,10,11.79,28.2,55.4,,,,,,,
Akash Madhwal,15,312,540,17,10.38,18.35,31.76,2.0,47.0,58.0,7.0,7.4,6.71,8.29
Akash Singh,12,247,406,13,9.86,19.0,31.23,,,,,,,
Anand Rajan,8,150,206,8,8.24,18.75,25.75,,,,,,,
Ankit Sharma,20,349,425,12,7.31,29.08,35.42,1.0,18.0,28.0,0.0,9.33,,
Anureet Singh,22,419,636,18,9.11,23.28,35.33,,,,,,,
Arshad Khan,23,341,643,17,11.31,20.06,37.82,1.0,24.0,32.0,1.0,8.0,24.0,32.0
Arshdeep Singh,92,1978,3058,108,9.28,18.31,28.31,3.0,60.0,108.0,3.0,10.8,20.0,36.0
Ashok Sharma,6,127,233,6,11.01,21.17,38.83,,,,,,,
Ashwani Kumar,8,139,252,14,10.88,9.93,18.0,2.0,46.0,84.0,3.0,10.96,15.33,28.0
Avesh Khan,77,1651,2590,85,9.41,19.42,30.47,5.0,120.0,185.0,9.0,9.25,13.33,20.56
Azhar Mahmood,23,542,707,29,7.83,18.69,24.38,,,,,,,
Azmatullah Omarzai,15,300,489,12,9.78,25.0,40.75,3.0,54.0,90.0,3.0,10.0,18.0,30.0
B Akhil,13,189,246,6,7.81,31.5,41.0,,,,,,,
B Kumar,191,4312,5644,210,7.85,20.53,26.88,15.0,301.0,401.0,16.0,7.99,18.81,25.06
B Laughlin,8,151,249,8,9.89,18.88,31.12,1.0,18.0,35.0,2.0,11.67,9.0,17.5
B Lee,36,839,1046,24,7.48,34.96,43.58,2.0,49.0,80.0,1.0,9.8,49.0,80.0
B Stanlake,6,144,200,7,8.33,20.57,28.57,,,,,,,
BA Bhatt,15,297,408,12,8.24,24.75,34.0,,,,,,,
BA Stokes,38,693,1023,28,8.86,24.75,36.54,,,,,,,
BAW Mendis,10,245,306,8,7.49,30.62,38.25,,,,,,,
BB Sran,21,432,665,16,9.24,27.0,41.56,3.0,54.0,102.0,2.0,11.33,27.0,51.0
BCJ Cutting,14,221,361,5,9.8,44.2,72.2,3.0,60.0,69.0,5.0,6.9,12.0,13.8
BE Hendricks,7,151,239,9,9.5,16.78,26.56,,,,,,,
BJ Hodge,20,234,310,17,7.95,13.76,18.24,,,,,,,
BW Hilfenhaus,14,307,408,18,7.97,17.06,22.67,3.0,68.0,89.0,4.0,7.85,17.0,22.25
Basil Thampi,24,498,820,22,9.88,22.64,37.27,1.0,24.0,42.0,0.0,10.5,,
Bipul Sharma,24,382,523,15,8.21,25.47,34.87,4.0,44.0,58.0,2.0,7.91,22.0,29.0
Brijesh Sharma,11,236,377,13,9.58,18.15,29.0,2.0,41.0,75.0,1.0,10.98,41.0,75.0
C Bosch,8,165,253,13,9.2,12.69,19.46,,,,,,,
C Green,36,513,837,22,9.79,23.32,38.05,3.0,60.0,79.0,1.0,7.9,60.0,79.0
C Sakariya,20,449,649,20,8.67,22.45,32.45,,,,,,,
C de Grandhomme,19,218,323,6,8.89,36.33,53.83,,,,,,,
CH Gayle,34,473,660,16,8.37,29.56,41.25,4.0,84.0,95.0,2.0,6.79,42.0,47.5
CH Morris,78,1664,2282,93,8.23,17.89,24.54,3.0,67.0,95.0,3.0,8.51,22.33,31.67
CJ Anderson,21,279,489,11,10.52,25.36,44.45,1.0,18.0,36.0,0.0,12.0,,
