bowler,powerplay_balls,powerplay_runs,powerplay_wickets,powerplay_dot_pct,powerplay_boundary_pct,powerplay_economy,powerplay_bowling_sr,middle_balls,middle_runs,middle_wickets,middle_dot_pct,middle_boundary_pct,middle_economy,middle_bowling_sr,death_balls,death_runs,death_wickets,death_dot_pct,death_boundary_pct,death_economy,death_bowling_sr
KK Ahmed,981.0,1342.0,38.0,49.25386666666667,23.067333333333334,8.21,25.82,264.0,362.0,16.0,34.105,17.36138888888889,8.23,16.5,420.0,737.0,37.0,33.83175438596491,24.778245614035086,10.53,11.35
S Aravind,427.0,524.0,20.0,44.21368421052631,19.42236842105263,7.36,21.35,186.0,264.0,10.0,33.332608695652176,19.20304347826087,8.52,18.6,148.0,238.0,15.0,30.429090909090913,22.47590909090909,9.65,9.87
OF Smith,18.0,21.0,1.0,54.165,25.0,7.0,18.0,55.0,110.0,2.0,31.548333333333332,35.51833333333334,12.0,27.5,18.0,44.0,3.0,38.89,38.89,14.67,6.0
Shivang Kumar,6.0,22.0,0.0,33.33,66.67,22.0,,216.0,325.0,7.0,25.106923076923074,20.299999999999997,9.03,30.86,12.0,23.0,2.0,33.33,25.0,11.5,6.0
J Little,78.0,120.0,3.0,40.07857142857143,26.19142857142857,9.23,26.0,96.0,126.0,8.0,32.120000000000005,22.22125,7.88,12.0,54.0,87.0,0.0,25.0,21.875,9.67,
S Badree,156.0,187.0,7.0,48.379999999999995,20.834166666666665,7.19,22.29,96.0,128.0,4.0,32.82727272727273,16.163636363636364,8.0,24.0,6.0,4.0,0.0,33.33,0.0,4.0,
V Puthur,,,,,,,,60.0,85.0,6.0,33.332,21.668,8.5,10.0,12.0,23.0,0.0,16.67,25.0,11.5,
Ashok Sharma,24.0,60.0,0.0,29.165,45.83,15.0,,55.0,74.0,1.0,52.85166666666667,15.498333333333335,8.07,55.0,48.0,89.0,5.0,38.89,31.94333333333333,11.12,9.6
PP Chawla,437.0,562.0,20.0,44.541754385964914,20.23315789473684,7.72,21.85,2971.0,3890.0,130.0,32.16705882352941,15.846256684491978,7.86,22.85,444.0,648.0,39.0,33.96617647058823,18.991323529411765,8.76,11.38
J Overton,30.0,71.0,0.0,16.666666666666668,33.333333333333336,14.2,,108.0,146.0,9.0,35.0,19.720999999999997,8.11,12.0,66.0,108.0,5.0,30.2075,24.99875,9.82,13.2
