bowler,total_matches,total_balls,total_runs,total_wickets,overall_economy,overall_bowling_sr,average,highest_match_wickets,best_season,three_wicket_hauls,five_wicket_hauls,hat_tricks,most_dismissals,bowled,caught,lbw,stumped,teams_represented,last_team
YS Chahal,184,4050,5501,233,8.15,17.38,23.61,5,2022,23,1,2,caught,38,150,19,22,"Mumbai Indians, Punjab Kings, Rajasthan Royals, Royal Challengers Bangalore",Punjab Kings
B Kumar,206,4613,6045,226,7.86,20.41,26.75,5,2026,22,2,0,caught,46,159,13,2,"Pune Warriors, Royal Challengers Bengaluru, Sunrisers Hyderabad",Royal Challengers Bengaluru
SP Narine,200,4666,5379,209,6.92,22.33,25.74,5,2012,18,1,1,caught,57,105,26,11,Kolkata Knight Riders,Kolkata Knight Riders
PP Chawla,191,3852,5179,192,8.07,20.06,26.97,4,2023,15,0,0,caught,50,95,21,19,"Chennai Super Kings, Kolkata Knight Riders, Mumbai Indians, Punjab Kings",Mumbai Indians
JJ Bumrah,158,3693,4582,190,7.44,19.44,24.12,5,2020,26,3,0,caught,48,120,18,0,Mumbai Indians,Mumbai Indians
R Ashwin,217,4714,5721,187,7.28,25.21,30.59,4,2011,9,0,0,caught,29,122,19,10,"Chennai Super Kings, Delhi Capitals, Punjab Kings, Rajasthan Royals, Rising Pune Supergiant",Chennai Super Kings
DJ Bravo,158,3129,4436,183,8.51,17.1,24.24,4,2013,16,0,0,caught,21,143,8,0,"Chennai Super Kings, Gujarat Lions, Mumbai Indians",Chennai Super Kings
RA Jadeja,237,4261,5525,180,7.78,23.67,30.69,5,2023,17,1,0,caught,40,103,18,12,"Chennai Super Kings, Gujarat Lions, Kochi Tuskers Kerala, Rajasthan Royals",Rajasthan Royals
Rashid Khan,153,3543,4390,179,7.43,19.79,24.53,4,2023,19,0,1,caught,45,85,39,8,"Gujarat Titans, Sunrisers Hyderabad",Gujarat Titans
A Mishra,162,3392,4193,174,7.42,19.49,24.1,5,2013,17,1,3,caught,26,102,14,28,"Delhi Capitals, Lucknow Super Giants, Sunrisers Hyderabad",Lucknow Super Giants
SL Malinga,122,2845,3486,170,7.35,16.74,20.51,5,2011,19,1,0,caught,63,90,11,0,Mumbai Indians,Mumbai Indians
K Rabada,101,2312,3447,151,8.95,15.31,22.83,4,2020,17,0,1,caught,20,122,3,0,"Delhi Capitals, Gujarat Titans, Punjab Kings",Gujarat Titans
Sandeep Sharma,142,3176,4359,151,8.23,21.03,28.87,5,2014,12,1,0,caught,28,99,17,1,"Punjab Kings, Rajasthan Royals, Sunrisers Hyderabad",Rajasthan Royals
HV Patel,121,2527,3801,151,9.02,16.74,25.17,5,2021,17,1,1,caught,19,120,10,0,"Delhi Capitals, Punjab Kings, Royal Challengers Bangalore, Sunrisers Hyderabad",Sunrisers Hyderabad
Harbhajan Singh,160,3420,4101,150,7.19,22.8,27.34,5,2013,11,1,0,caught,29,83,8,18,"Chennai Super Kings, Kolkata Knight Riders, Mumbai Indians",Kolkata Knight Riders
Mohammed Shami,132,2929,4302,145,8.81,20.2,29.67,4,2023,13,0,0,caught,31,102,10,0,"Delhi Capitals, Gujarat Titans, Kolkata Knight Riders, Lucknow Super Giants, Punjab Kings, Sunrisers Hyderabad",Lucknow Super Giants
TA Boult,124,2786,3994,145,8.6,19.21,27.54,4,2020,12,0,0,caught,28,97,16,0,"Delhi Capitals, Kolkata Knight Riders, Mumbai Indians, Rajasthan Royals, Sunrisers Hyderabad",Mumbai Indians
UT Yadav,147,3080,4442,144,8.65,21.39,30.85,4,2018,16,0,0,caught,24,108,10,0,"Delhi Capitals, Gujarat Titans, Kolkata Knight Riders, Royal Challengers Bangalore",Gujarat Titans
AR Patel,173,3585,4503,139,7.54,25.79,32.4,4,2014,4,0,1,caught,39,73,8,12,"Delhi Capitals, Punjab Kings",Delhi Capitals
MM Sharma,119,2413,3537,134,8.79,18.01,26.4,5,2023,16,1,0,caught,22,104,4,0,"Chennai Super Kings, Delhi Capitals, Gujarat Titans, Punjab Kings",Delhi Capitals
Mohammed Siraj,125,2680,4004,128,8.96,20.94,31.28,4,2023,10,0,0,caught,26,91,10,0,"Gujarat Titans, Royal Challengers Bangalore, Royal Challengers Bengaluru, Sunrisers Hyderabad",Gujarat Titans
