bowler,year,matches,balls,runs,wickets,economy,bowling_sr
A Ashish Reddy,2012,9,165,238,11,8.65,15.0
A Ashish Reddy,2013,5,40,71,3,10.65,13.33
A Ashish Reddy,2015,4,36,51,3,8.5,12.0
A Ashish Reddy,2016,2,23,40,1,10.43,23.0
A Chandila,2012,4,84,87,5,6.21,16.8
A Chandila,2013,8,150,158,6,6.32,25.0
A Choudhary,2017,5,102,144,5,8.47,20.4
A Kamboj,2024,3,62,115,2,11.13,31.0
A Kamboj,2025,8,130,173,8,7.98,16.25
A Kamboj,2026,14,306,535,21,10.49,14.57
A Kumble,2008,10,230,314,7,8.19,32.86
A Kumble,2009,16,355,353,21,5.97,16.9
A Kumble,2010,16,385,422,17,6.58,22.65
A Mishra,2008,6,120,140,11,7.0,10.91
A Mishra,2009,11,259,300,14,6.95,18.5
A Mishra,2010,14,321,371,17,6.93,18.88
A Mishra,2011,14,322,369,19,6.88,16.95
A Mishra,2012,14,284,381,13,8.05,21.85
A Mishra,2013,17,374,395,21,6.34,17.81
A Mishra,2014,10,227,342,7,9.04,32.43
A Mishra,2015,12,241,312,9,7.77,26.78
A Mishra,2016,14,278,350,13,7.55,21.38
A Mishra,2017,14,233,345,10,8.88,23.3
A Mishra,2018,10,222,265,12,7.16,18.5
A Mishra,2019,11,240,271,11,6.78,21.82
A Mishra,2020,3,61,72,3,7.08,20.33
A Mishra,2021,4,84,109,6,7.79,14.0
A Mishra,2023,7,114,151,7,7.95,16.29
A Mishra,2024,1,12,20,1,10.0,12.0
A Mithun,2009,1,24,42,0,10.5,
A Mithun,2010,1,19,39,1,12.32,19.0
A Mithun,2011,12,212,325,5,9.2,42.4
A Mithun,2012,1,18,34,0,11.33,
A Mithun,2013,1,24,37,1,9.25,24.0
A Nehra,2008,14,270,357,12,7.93,22.5
A Nehra,2009,13,311,354,19,6.83,16.37
A Nehra,2010,4,84,102,6,7.29,14.0
A Nehra,2012,13,290,411,11,8.5,26.36
A Nehra,2013,10,216,319,11,8.86,19.64
A Nehra,2014,4,90,143,8,9.53,11.25
A Nehra,2015,16,373,453,22,7.29,16.95
A Nehra,2016,8,156,200,9,7.69,17.33
A Nehra,2017,6,127,198,8,9.35,15.88
A Nortje,2020,16,366,529,22,8.67,16.64
A Nortje,2021,8,182,198,12,6.53,15.17
A Nortje,2022,6,138,219,9,9.52,15.33
A Nortje,2023,10,243,370,10,9.14,24.3
A Nortje,2024,6,133,298,7,13.44,19.0
A Nortje,2025,2,42,87,1,12.43,42.0
A Nortje,2026,1,24,39,0,9.75,
A Singh,2009,5,106,100,9,5.66,11.78
A Singh,2011,9,171,222,9,7.79,19.0
A Singh,2012,9,197,317,10,9.65,19.7
A Symonds,2008,3,42,106,0,15.14,
A Symonds,2009,8,144,162,7,6.75,20.57
A Symonds,2010,16,318,385,12,7.26,26.5
A Symonds,2011,3,24,41,1,10.25,24.0
A Zampa,2016,5,102,117,12,6.88,8.5
A Zampa,2017,6,119,164,7,8.27,17.0
A Zampa,2020,3,66,92,2,8.36,33.0
A Zampa,2023,6,132,189,8,8.59,16.5
A Zampa,2025,2,48,94,2,11.75,24.0
AA Chavan,2011,2,30,31,0,6.2,
AA Chavan,2012,8,164,245,7,8.96,23.43
AA Chavan,2013,3,54,63,1,7.0,54.0
AB Agarkar,2008,9,157,211,8,8.06,19.62
AB Agarkar,2009,11,186,293,6,9.45,31.0
AB Agarkar,2010,7,133,207,4,9.34,33.25
AB Agarkar,2011,7,162,236,8,8.74,20.25
AB Agarkar,2012,4,86,134,3,9.35,28.67
AB Agarkar,2013,4,60,93,0,9.3,
AB Dinda,2008,12,235,266,9,6.79,26.11
AB Dinda,2009,8,144,195,4,8.12,36.0
AB Dinda,2010,7,139,155,9,6.69,15.44
AB Dinda,2011,5,104,159,5,9.17,20.8
AB Dinda,2012,7,148,171,9,6.93,16.44
AB Dinda,2013,13,296,466,16,9.45,18.5
AB Dinda,2014,9,188,271,5,8.65,37.6
AB Dinda,2015,2,32,63,0,11.81,
AB Dinda,2016,9,184,236,11,7.7,16.73
AB Dinda,2017,3,60,121,1,12.1,60.0
AB McDonald,2009,1,18,22,0,7.33,
AB McDonald,2010,4,84,138,5,9.86,16.8
AB McDonald,2011,1,12,23,0,11.5,
AB McDonald,2012,3,60,63,5,6.3,12.0
AB McDonald,2013,1,12,17,1,8.5,12.0
AC Thomas,2011,11,232,300,11,7.76,21.09
AC Thomas,2012,4,85,116,3,8.19,28.33
AD Mascarenhas,2008,1,24,31,2,7.75,12.0
AD Mascarenhas,2009,5,116,133,6,6.88,19.33
AD Mascarenhas,2010,2,48,66,4,8.25,12.0
AD Mascarenhas,2012,4,96,110,7,6.88,13.71
AD Mascarenhas,2013,1,24,25,0,6.25,
AD Mathews,2009,1,14,32,0,13.71,
AD Mathews,2010,12,226,317,8,8.42,28.25
AD Mathews,2012,9,156,195,7,7.5,22.29
AD Mathews,2013,10,186,245,5,7.9,37.2
AD Mathews,2015,10,180,249,7,8.3,25.71
AD Mathews,2017,2,30,57,0,11.4,
AD Russell,2012,4,97,162,1,10.02,97.0
AD Russell,2013,3,42,68,0,9.71,
AD Russell,2014,2,31,54,1,10.45,31.0
AD Russell,2015,13,245,332,14,8.13,17.5
AD Russell,2016,12,219,301,15,8.25,14.6
AD Russell,2018,15,228,360,13,9.47,17.54
AD Russell,2019,12,181,288,11,9.55,16.45
AD Russell,2020,7,110,178,6,9.71,18.33
AD Russell,2021,8,114,189,11,9.95,10.36
AD Russell,2022,13,170,282,17,9.95,10.0
AD Russell,2023,9,94,173,7,11.04,13.43
AD Russell,2024,14,176,304,19,10.36,9.26
AD Russell,2025,9,112,218,8,11.68,14.0
AF Milne,2016,1,24,44,1,11.0,24.0
AF Milne,2017,4,84,141,3,10.07,28.0
AF Milne,2021,4,85,135,3,9.53,28.33
AF Milne,2022,1,15,19,0,7.6,
AF Milne,2026,1,20,42,0,12.6,
AG Murtaza,2010,3,72,93,3,7.75,24.0
AG Murtaza,2011,5,120,122,3,6.1,40.0
AG Murtaza,2012,1,12,11,0,5.5,
AG Murtaza,2013,3,60,96,3,9.6,20.0
AJ Hosein,2023,1,24,41,1,10.25,24.0
AJ Hosein,2026,7,150,198,8,7.92,18.75
AJ Tye,2017,6,126,146,12,6.95,10.5
AJ Tye,2018,14,338,459,24,8.15,14.08
AJ Tye,2019,6,132,233,3,10.59,44.0
AJ Tye,2020,1,25,54,1,12.96,25.0
AJ Tye,2022,3,66,113,2,10.27,33.0
AK Markram,2021,2,24,23,0,5.75,
AK Markram,2022,4,36,64,1,10.67,36.0
AK Markram,2023,6,49,71,1,8.69,49.0
AK Markram,2024,2,13,15,0,6.92,
AK Markram,2025,5,66,102,4,9.27,16.5
AK Markram,2026,5,36,83,0,13.83,
AM Ghazanfar,2026,11,233,390,15,10.04,15.53
AM Nayar,2008,5,42,69,1,9.86,42.0
AM Nayar,2009,4,72,84,4,7.0,18.0
AM Nayar,2011,6,61,95,2,9.34,30.5
AM Nayar,2012,1,6,16,0,16.0,
AM Nayar,2013,3,48,59,2,7.38,24.0
AM Salvi,2009,5,102,138,4,8.12,25.5
AM Salvi,2011,2,48,67,3,8.38,16.0
AN Ahmed,2010,1,12,26,0,13.0,
AN Ahmed,2011,6,121,178,5,8.83,24.2
AN Ahmed,2012,1,12,17,0,8.5,
AN Ahmed,2013,2,42,45,3,6.43,14.0
AN Ahmed,2014,4,88,120,3,8.18,29.33
AN Ahmed,2015,3,74,129,1,10.46,74.0
AR Patel,2014,17,396,424,17,6.42,23.29
AR Patel,2015,14,280,399,13,8.55,21.54
AR Patel,2016,14,287,395,13,8.26,22.08
AR Patel,2017,14,288,366,15,7.62,19.2
AR Patel,2018,8,156,221,3,8.5,52.0
AR Patel,2019,14,306,368,10,7.22,30.6
AR Patel,2020,15,306,329,9,6.45,34.0
AR Patel,2021,12,282,315,15,6.7,18.8
AR Patel,2022,13,258,323,6,7.51,43.0
AR Patel,2023,13,282,344,11,7.32,25.64
AR Patel,2024,14,264,340,11,7.73,24.0
AR Patel,2025,12,216,314,5,8.72,43.2
AR Patel,2026,13,264,365,11,8.3,24.0
AS Joseph,2019,3,52,89,6,10.27,8.67
AS Joseph,2022,9,181,269,7,8.92,25.86
AS Joseph,2023,7,144,226,7,9.42,20.57
AS Joseph,2024,3,58,123,1,12.72,58.0
AS Rajpoot,2013,2,24,37,1,9.25,24.0
AS Rajpoot,2016,4,67,101,3,9.04,22.33
AS Rajpoot,2017,5,84,113,4,8.07,21.0
AS Rajpoot,2018,8,159,230,11,8.68,14.45
AS Rajpoot,2019,4,101,157,3,9.33,33.67
AS Rajpoot,2020,6,104,206,2,11.88,52.0
AS Roy,2019,1,12,11,1,5.5,12.0
AS Roy,2022,2,42,55,1,7.86,42.0
AS Roy,2023,3,48,65,3,8.12,16.0
AS Roy,2024,3,34,60,0,10.59,
AS Roy,2025,1,24,27,1,6.75,24.0
AS Roy,2026,12,163,264,9,9.72,18.11
Abhishek Sharma,2019,2,13,21,1,9.69,13.0
Abhishek Sharma,2020,6,60,92,2,9.2,30.0
Abhishek Sharma,2021,6,60,66,4,6.6,15.0
Abhishek Sharma,2022,3,24,39,0,9.75,
Abhishek Sharma,2023,5,72,127,2,10.58,36.0
Abhishek Sharma,2024,4,42,51,2,7.29,21.0
Abhishek Sharma,2025,6,66,113,0,10.27,
Abhishek Sharma,2026,4,29,49,0,10.14,
Akash Deep,2022,5,115,206,5,10.75,23.0
Akash Deep,2023,2,32,63,1,11.81,32.0
Akash Deep,2024,1,21,55,1,15.71,21.0
Akash Deep,2025,6,114,230,3,12.11,38.0
Akash Madhwal,2023,8,158,222,15,8.43,10.53
Akash Madhwal,2024,5,111,209,5,11.3,22.2
Akash Madhwal,2025,4,90,167,4,11.13,22.5
Akash Singh,2021,1,24,39,0,9.75,
