team1,team1score,team2,team2score,group,date,city,winner,match_number,powerplay_score_teama,powerplay_score_teamb,toss_winner,toss_decision
Kolkata Knight Riders,222,Royal Challengers Bangalore,82,Indian Premier League1,2008-04-18,"M Chinnaswamy Stadium, Bengaluru",Kolkata Knight Riders,1.0,61,26,Royal Challengers Bangalore,field
Chennai Super Kings,240,Kings XI Punjab,207,Indian Premier League2,2008-04-19,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chennai Super Kings,2.0,53,63,Chennai Super Kings,bat
Rajasthan Royals,129,Delhi Daredevils,132,Indian Premier League3,2008-04-19,Feroz Shah Kotla,Delhi Daredevils,3.0,40,55,Rajasthan Royals,bat
Mumbai Indians,165,Royal Challengers Bangalore,166,Indian Premier League5,2008-04-20,"Wankhede Stadium, Mumbai",Royal Challengers Bangalore,5.0,47,40,Mumbai Indians,bat
Deccan Chargers,110,Kolkata Knight Riders,112,Indian Premier League4,2008-04-20,"Eden Gardens, Kolkata",Kolkata Knight Riders,4.0,39,26,Deccan Chargers,bat
Kings XI Punjab,166,Rajasthan Royals,168,Indian Premier League6,2008-04-21,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,6.0,54,53,Kings XI Punjab,bat
Deccan Chargers,142,Delhi Daredevils,143,Indian Premier League7,2008-04-22,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Delhi Daredevils,7.0,25,48,Deccan Chargers,bat
Chennai Super Kings,208,Mumbai Indians,202,Indian Premier League8,2008-04-23,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,8.0,53,52,Mumbai Indians,field
Deccan Chargers,214,Rajasthan Royals,217,Indian Premier League9,2008-04-24,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Rajasthan Royals,9.0,58,73,Rajasthan Royals,field
Kings XI Punjab,182,Mumbai Indians,116,Indian Premier League10,2008-04-25,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Kings XI Punjab,10.0,60,39,Mumbai Indians,field
Royal Challengers Bangalore,135,Rajasthan Royals,138,Indian Premier League12,2008-04-26,"M Chinnaswamy Stadium, Bengaluru",Rajasthan Royals,12.0,57,45,Rajasthan Royals,field
Kolkata Knight Riders,147,Chennai Super Kings,152,Indian Premier League11,2008-04-26,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,11.0,61,45,Kolkata Knight Riders,bat
Mumbai Indians,154,Deccan Chargers,155,Indian Premier League14,2008-04-27,"Dr DY Patil Sports Academy, Mumbai",Deccan Chargers,14.0,27,60,Deccan Chargers,field
Delhi Daredevils,158,Kings XI Punjab,162,Indian Premier League13,2008-04-27,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Kings XI Punjab,13.0,45,55,Delhi Daredevils,bat
Chennai Super Kings,178,Royal Challengers Bangalore,165,Indian Premier League15,2008-04-28,"M Chinnaswamy Stadium, Bengaluru",Chennai Super Kings,15.0,36,45,Chennai Super Kings,bat
Kolkata Knight Riders,137,Mumbai Indians,138,Indian Premier League16,2008-04-29,"Eden Gardens, Kolkata",Mumbai Indians,16.0,40,38,Kolkata Knight Riders,bat
Delhi Daredevils,191,Royal Challengers Bangalore,181,Indian Premier League17,2008-04-30,Feroz Shah Kotla,Delhi Daredevils,17.0,58,55,Royal Challengers Bangalore,field
Deccan Chargers,164,Kings XI Punjab,167,Indian Premier League19,2008-05-01,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Kings XI Punjab,19.0,50,41,Kings XI Punjab,field
Rajasthan Royals,196,Kolkata Knight Riders,151,Indian Premier League18,2008-05-01,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,18.0,45,51,Rajasthan Royals,bat
Chennai Super Kings,169,Delhi Daredevils,172,Indian Premier League20,2008-05-02,"MA Chidambaram Stadium, Chepauk, Chennai",Delhi Daredevils,20.0,47,64,Chennai Super Kings,bat
Kings XI Punjab,178,Kolkata Knight Riders,169,Indian Premier League22,2008-05-03,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Kings XI Punjab,22.0,49,31,Kings XI Punjab,bat
Royal Challengers Bangalore,156,Deccan Chargers,153,Indian Premier League21,2008-05-03,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore,21.0,46,33,Deccan Chargers,field
Mumbai Indians,162,Delhi Daredevils,133,Indian Premier League23,2008-05-04,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians,23.0,50,37,Delhi Daredevils,field
Chennai Super Kings,109,Rajasthan Royals,110,Indian Premier League24,2008-05-04,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,24.0,38,44,Chennai Super Kings,bat
Royal Challengers Bangalore,126,Kings XI Punjab,127,Indian Premier League25,2008-05-05,"M Chinnaswamy Stadium, Bengaluru",Kings XI Punjab,25.0,26,52,Kings XI Punjab,field
Chennai Super Kings,144,Deccan Chargers,148,Indian Premier League26,2008-05-06,"MA Chidambaram Stadium, Chepauk, Chennai",Deccan Chargers,26.0,34,50,Deccan Chargers,field
Rajasthan Royals,103,Mumbai Indians,104,Indian Premier League27,2008-05-07,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians,27.0,48,34,Mumbai Indians,field
Delhi Daredevils,187,Chennai Super Kings,188,Indian Premier League28,2008-05-08,Feroz Shah Kotla,Chennai Super Kings,28.0,50,62,Chennai Super Kings,field
