date,match_number,match_name,year,details,full_match_name
2026-05-31 ,1535465.json, Gujarat Titans vs Royal Challengers Bengaluru,2026,Final Match,Season 2026 Final Match  Gujarat Titans vs Royal Challengers Bengaluru
2026-05-29 ,1535464.json, Rajasthan Royals vs Gujarat Titans,2026,Qualifier 2 Match,Season 2026 Qualifier 2 Match  Rajasthan Royals vs Gujarat Titans
2026-05-27 ,1535463.json, Rajasthan Royals vs Sunrisers Hyderabad,2026,Eliminator Match,Season 2026 Eliminator Match  Rajasthan Royals vs Sunrisers Hyderabad
2026-05-26 ,1535462.json, Royal Challengers Bengaluru vs Gujarat Titans,2026,Qualifier 1 Match,Season 2026 Qualifier 1 Match  Royal Challengers Bengaluru vs Gujarat Titans
2026-05-24 ,1529313.json, Delhi Capitals vs Kolkata Knight Riders,2026,Match no 70,Season 2026 Match no 70  Delhi Capitals vs Kolkata Knight Riders
2026-05-24 ,1529312.json, Rajasthan Royals vs Mumbai Indians,2026,Match no 69,Season 2026 Match no 69  Rajasthan Royals vs Mumbai Indians
2026-05-23 ,1529311.json, Lucknow Super Giants vs Punjab Kings,2026,Match no 68,Season 2026 Match no 68  Lucknow Super Giants vs Punjab Kings
2026-05-22 ,1529310.json, Sunrisers Hyderabad vs Royal Challengers Bengaluru,2026,Match no 67,Season 2026 Match no 67  Sunrisers Hyderabad vs Royal Challengers Bengaluru
2026-05-21 ,1529309.json, Gujarat Titans vs Chennai Super Kings,2026,Match no 66,Season 2026 Match no 66  Gujarat Titans vs Chennai Super Kings
2026-05-20 ,1529308.json, Mumbai Indians vs Kolkata Knight Riders,2026,Match no 65,Season 2026 Match no 65  Mumbai Indians vs Kolkata Knight Riders
2026-05-19 ,1529307.json, Lucknow Super Giants vs Rajasthan Royals,2026,Match no 64,Season 2026 Match no 64  Lucknow Super Giants vs Rajasthan Royals
2026-05-18 ,1529306.json, Chennai Super Kings vs Sunrisers Hyderabad,2026,Match no 63,Season 2026 Match no 63  Chennai Super Kings vs Sunrisers Hyderabad
2026-05-17 ,1529305.json, Rajasthan Royals vs Delhi Capitals,2026,Match no 62,Season 2026 Match no 62  Rajasthan Royals vs Delhi Capitals
2026-05-17 ,1529304.json, Royal Challengers Bengaluru vs Punjab Kings,2026,Match no 61,Season 2026 Match no 61  Royal Challengers Bengaluru vs Punjab Kings
2026-05-16 ,1529303.json, Kolkata Knight Riders vs Gujarat Titans,2026,Match no 60,Season 2026 Match no 60  Kolkata Knight Riders vs Gujarat Titans
2026-05-15 ,1529302.json, Chennai Super Kings vs Lucknow Super Giants,2026,Match no 59,Season 2026 Match no 59  Chennai Super Kings vs Lucknow Super Giants
2026-05-14 ,1529301.json, Punjab Kings vs Mumbai Indians,2026,Match no 58,Season 2026 Match no 58  Punjab Kings vs Mumbai Indians
2026-05-13 ,1529300.json, Kolkata Knight Riders vs Royal Challengers Bengaluru,2026,Match no 57,Season 2026 Match no 57  Kolkata Knight Riders vs Royal Challengers Bengaluru
2026-05-12 ,1529299.json, Gujarat Titans vs Sunrisers Hyderabad,2026,Match no 56,Season 2026 Match no 56  Gujarat Titans vs Sunrisers Hyderabad
2026-05-11 ,1529298.json, Punjab Kings vs Delhi Capitals,2026,Match no 55,Season 2026 Match no 55  Punjab Kings vs Delhi Capitals
2026-05-10 ,1529297.json, Mumbai Indians vs Royal Challengers Bengaluru,2026,Match no 54,Season 2026 Match no 54  Mumbai Indians vs Royal Challengers Bengaluru
2026-05-10 ,1529296.json, Lucknow Super Giants vs Chennai Super Kings,2026,Match no 53,Season 2026 Match no 53  Lucknow Super Giants vs Chennai Super Kings
2026-05-09 ,1529295.json, Gujarat Titans vs Rajasthan Royals,2026,Match no 52,Season 2026 Match no 52  Gujarat Titans vs Rajasthan Royals
2026-05-08 ,1529294.json, Delhi Capitals vs Kolkata Knight Riders,2026,Match no 51,Season 2026 Match no 51  Delhi Capitals vs Kolkata Knight Riders
2026-05-07 ,1529293.json, Lucknow Super Giants vs Royal Challengers Bengaluru,2026,Match no 50,Season 2026 Match no 50  Lucknow Super Giants vs Royal Challengers Bengaluru
2026-05-06 ,1529292.json, Sunrisers Hyderabad vs Punjab Kings,2026,Match no 49,Season 2026 Match no 49  Sunrisers Hyderabad vs Punjab Kings
2026-05-05 ,1529291.json, Delhi Capitals vs Chennai Super Kings,2026,Match no 48,Season 2026 Match no 48  Delhi Capitals vs Chennai Super Kings
2026-05-04 ,1529290.json, Lucknow Super Giants vs Mumbai Indians,2026,Match no 47,Season 2026 Match no 47  Lucknow Super Giants vs Mumbai Indians
2026-05-03 ,1529289.json, Punjab Kings vs Gujarat Titans,2026,Match no 46,Season 2026 Match no 46  Punjab Kings vs Gujarat Titans
2026-05-03 ,1529288.json, Sunrisers Hyderabad vs Kolkata Knight Riders,2026,Match no 45,Season 2026 Match no 45  Sunrisers Hyderabad vs Kolkata Knight Riders
2026-05-02 ,1529287.json, Mumbai Indians vs Chennai Super Kings,2026,Match no 44,Season 2026 Match no 44  Mumbai Indians vs Chennai Super Kings
2026-05-01 ,1529286.json, Rajasthan Royals vs Delhi Capitals,2026,Match no 43,Season 2026 Match no 43  Rajasthan Royals vs Delhi Capitals
2026-04-30 ,1529285.json, Royal Challengers Bengaluru vs Gujarat Titans,2026,Match no 42,Season 2026 Match no 42  Royal Challengers Bengaluru vs Gujarat Titans
2026-04-29 ,1529284.json, Mumbai Indians vs Sunrisers Hyderabad,2026,Match no 41,Season 2026 Match no 41  Mumbai Indians vs Sunrisers Hyderabad
2026-04-28 ,1529283.json, Punjab Kings vs Rajasthan Royals,2026,Match no 40,Season 2026 Match no 40  Punjab Kings vs Rajasthan Royals
2026-04-27 ,1529282.json, Delhi Capitals vs Royal Challengers Bengaluru,2026,Match no 39,Season 2026 Match no 39  Delhi Capitals vs Royal Challengers Bengaluru
2026-04-26 ,1529281.json, Kolkata Knight Riders vs Lucknow Super Giants,2026,Match no 38,Season 2026 Match no 38  Kolkata Knight Riders vs Lucknow Super Giants
2026-04-26 ,1529280.json, Chennai Super Kings vs Gujarat Titans,2026,Match no 37,Season 2026 Match no 37  Chennai Super Kings vs Gujarat Titans
2026-04-25 ,1529279.json, Rajasthan Royals vs Sunrisers Hyderabad,2026,Match no 36,Season 2026 Match no 36  Rajasthan Royals vs Sunrisers Hyderabad
2026-04-25 ,1529278.json, Delhi Capitals vs Punjab Kings,2026,Match no 35,Season 2026 Match no 35  Delhi Capitals vs Punjab Kings
2026-04-24 ,1529277.json, Gujarat Titans vs Royal Challengers Bengaluru,2026,Match no 34,Season 2026 Match no 34  Gujarat Titans vs Royal Challengers Bengaluru
2026-04-23 ,1529276.json, Chennai Super Kings vs Mumbai Indians,2026,Match no 33,Season 2026 Match no 33  Chennai Super Kings vs Mumbai Indians
2026-04-22 ,1529275.json, Rajasthan Royals vs Lucknow Super Giants,2026,Match no 32,Season 2026 Match no 32  Rajasthan Royals vs Lucknow Super Giants
2026-04-21 ,1529274.json, Sunrisers Hyderabad vs Delhi Capitals,2026,Match no 31,Season 2026 Match no 31  Sunrisers Hyderabad vs Delhi Capitals
2026-04-20 ,1529273.json, Mumbai Indians vs Gujarat Titans,2026,Match no 30,Season 2026 Match no 30  Mumbai Indians vs Gujarat Titans
2026-04-19 ,1529272.json, Punjab Kings vs Lucknow Super Giants,2026,Match no 29,Season 2026 Match no 29  Punjab Kings vs Lucknow Super Giants
2026-04-19 ,1529271.json, Rajasthan Royals vs Kolkata Knight Riders,2026,Match no 28,Season 2026 Match no 28  Rajasthan Royals vs Kolkata Knight Riders
2026-04-18 ,1529270.json, Sunrisers Hyderabad vs Chennai Super Kings,2026,Match no 27,Season 2026 Match no 27  Sunrisers Hyderabad vs Chennai Super Kings
2026-04-18 ,1529269.json, Royal Challengers Bengaluru vs Delhi Capitals,2026,Match no 26,Season 2026 Match no 26  Royal Challengers Bengaluru vs Delhi Capitals
2026-04-17 ,1529268.json, Kolkata Knight Riders vs Gujarat Titans,2026,Match no 25,Season 2026 Match no 25  Kolkata Knight Riders vs Gujarat Titans
2026-04-16 ,1529267.json, Mumbai Indians vs Punjab Kings,2026,Match no 24,Season 2026 Match no 24  Mumbai Indians vs Punjab Kings
2026-04-15 ,1529266.json, Lucknow Super Giants vs Royal Challengers Bengaluru,2026,Match no 23,Season 2026 Match no 23  Lucknow Super Giants vs Royal Challengers Bengaluru
2026-04-14 ,1529265.json, Chennai Super Kings vs Kolkata Knight Riders,2026,Match no 22,Season 2026 Match no 22  Chennai Super Kings vs Kolkata Knight Riders
2026-04-13 ,1529264.json, Sunrisers Hyderabad vs Rajasthan Royals,2026,Match no 21,Season 2026 Match no 21  Sunrisers Hyderabad vs Rajasthan Royals
2026-04-12 ,1527693.json, Royal Challengers Bengaluru vs Mumbai Indians,2026,Match no 20,Season 2026 Match no 20  Royal Challengers Bengaluru vs Mumbai Indians
2026-04-12 ,1527692.json, Lucknow Super Giants vs Gujarat Titans,2026,Match no 19,Season 2026 Match no 19  Lucknow Super Giants vs Gujarat Titans
2026-04-11 ,1527691.json, Chennai Super Kings vs Delhi Capitals,2026,Match no 18,Season 2026 Match no 18  Chennai Super Kings vs Delhi Capitals
2026-04-11 ,1527690.json, Sunrisers Hyderabad vs Punjab Kings,2026,Match no 17,Season 2026 Match no 17  Sunrisers Hyderabad vs Punjab Kings
